State,StateFull,pop,bigstate
ca,california,38332521,CA
tx,texas,26448193,TX
ny,new york,19651127,NY
fl,florida,19552860,FL
il,illinois,12882135,IL
pa,pennsylvania,12773801,PA
oh,ohio,11570808,OH
ga,georgia,9992167,GA
mi,michigan,9895622,MI
nc,north carolina,9848060,NC
nj,new jersey,8899339,NJ
va,virginia,8260405,VA
wa,washington,6971406,WA
ma,maryland,6692824,MA
az,arizona,6626624,AZ
in,indiana,6570902,IN
tn,tennessee,6495978,TN
mo,missouri,6044171,MO
md,maryland,5928814,MD
wi,wisconsin,5742713,WI
mn,minnesota,5420380,MN
co,colorado,5268367,CO
al,alabama,4833722,AL
sc,south carolina,4774839,SC
la,louisiana,4625470,LA
ky,kentucky,4395295,KY
or,oregon,3930065,OR
ok,oklahoma,3850568,OK
ct,connecticut,3596080,CT
ia,iowa,3090416,IA
ms,mississippi,2991207,MS
ar,arkansas,2959373,AR
ut,utah,2900872,UT
ks,kansas,2893957,KS
nv,nevada,2790136,NV
nm,new mexico,2085287,NM
ne,nebraska,1868516,NE
wv,west virginia,1854304,WV
id,idaho,1612136,ID
me,maine,1328302,ME
nh,new hampshire,1323459,NH
ri,rhode island,1051511,RI
mt,montana,1015165,MT
de,delaware,925749,DE
sd,south dakota,844877,SD
nd,north dakota,723393,ND
vt,vermont,626630,VT
wy,wyoming,582658,WY
