word,count
'the',36224
'in',33445
'a',31434
'',26349
'and',25610
'of',20869
'light',17746
'lights',17721
'sky',16811
'to',16077
'i',15210
'object',14552
'over',13767
'bright',13228
'was',12453
'at',11371
'it',10274
'with',9916
'on',9463
'moving',9034
'white',7409
'from',7384
'then',7342
'orange',7319
'my',6902
'red',6726
'saw',6694
'very',6059
'shaped',6054
'seen',5714
'that',5541
'craft',5340
'flying',4876
'ufo',4784
'like',4646
'two',4470
'large',4351
'for',4267
'no',4258
'objects',4144
'night',3896
'we',3692
'out',3677
'3',3632
'one',3608
'about',3594
'were',3592
'across',3581
'up',3562
'an',3547
'hovering',3421
'fast',3312
'triangle',3295
'above',3289
'green',3266
'north',3227
'by',3199
'2',3181
'as',3074
'or',3064
'shape',3039
'west',2964
'south',2963
'east',2958
'high',2872
'formation',2867
'star',2858
'blue',2848
'speed',2692
'slowly',2667
'three',2653
'note',2593
'pd',2557
'nuforc',2551
'triangular',2483
'glowing',2478
'sighting',2447
'ball',2404
'low',2361
'sound',2314
'fireball',2311
'not',2307
'moved',2279
'looked',2257
'into',2214
'around',2179
'this',2174
'flashing',2161
'strange',2155
'off',2104
'appeared',2104
'when',2071
'traveling',1975
'near',1958
'but',1949
'be',1932
'round',1929
'just',1901
'black',1831
'disappeared',1781
'small',1754
'sphere',1690
'5',1672
'minutes',1661
'observed',1652
'circular',1618
'me',1608
'slow',1576
'4',1566
'silent',1565
'had',1546
'while',1530
'what',1456
'down',1454
'other',1440
'oval',1428
'driving',1420
'away',1414
'they',1393
'area',1379
'there',1356
'back',1355
'aircraft',1335
'our',1330
'orb',1324
'looking',1313
'have',1301
'flew',1301
'time',1296
'silver',1277
'seconds',1252
'went',1236
'stationary',1224
'all',1212
'clear',1200
'direction',1194
'after',1193
'house',1188
'spotted',1183
'color',1178
'is',1177
'line',1160
'orbs',1151
'noticed',1134
'than',1133
'us',1122
'horizon',1120
'stars',1107
'see',1106
'going',1102
'dark',1100
'before',1099
'first',1098
'home',1095
'huge',1090
'yellow',1090
'ground',1089
'outside',1086
'ufos',1084
'same',1077
'hovered',1076
'altitude',1073
'side',1072
'witnessed',1046
'straight',1039
'possible',1038
'feet',1025
'through',1019
'report',1018
'fire',1017
'flash',1017
'each',1011
'pm',987
'right',983
'blinking',976
'close',975
'disk',972
'lake',972
'ca',971
'cigar',967
'changing',960
